,Airport,Name,City,Latitude,Longitude,origin_count,dest_count,Total_Flights
0,ABE,Lehigh Valley Intl,Allentown,40.652083,-75.440806,6520.0,6524.0,13044.0
1,ABI,Abilene Rgnl,Abilene,32.411319,-99.681897,5523.0,5522.0,11045.0
2,ABQ,Albuquerque International Sunport,Albuquerque,35.0402222,-106.6091944,64610.0,64602.0,129212.0
3,ABR,Aberdeen Regional Airport,Aberdeen,45.4491,-98.4218,2237.0,2236.0,4473.0
4,ABY,Southwest Georgia Regional Airport,Albany,31.5355,-84.1945,2968.0,2968.0,5936.0
5,ACK,Nantucket Mem,Nantucket,41.253053,-70.060181,1529.0,1529.0,3058.0
6,ACT,Waco Rgnl,Waco,31.611289,-97.230519,4941.0,4941.0,9882.0
7,ACV,Arcata,Arcata CA,40.978111,-124.108611,5919.0,5921.0,11840.0
8,ACY,Atlantic City Intl,Atlantic City,39.457583,-74.577167,8004.0,8004.0,16008.0
9,ADK,Adak Airport,Adak Island,51.878,-176.646,313.0,313.0,626.0
10,ADQ,Kodiak,Kodiak,57.749967,-152.493856,1569.0,1569.0,3138.0
11,AEX,Alexandria Intl,Alexandria,31.3274,-92.549833,9713.0,9714.0,19427.0
12,AGS,Augusta Rgnl At Bush Fld,Bush Field,33.369944,-81.9645,7880.0,7882.0,15762.0
13,AKN,King Salmon,King Salmon,58.676778,-156.649278,189.0,189.0,378.0
14,ALB,Albany Intl,Albany,42.748267,-73.801692,25536.0,25531.0,51067.0
15,ALO,Waterloo Regional Airport,Waterloo,42.5571,-92.4003,1352.0,1352.0,2704.0
16,AMA,Rick Husband Amarillo Intl,Amarillo,35.219369,-101.705931,14859.0,14857.0,29716.0
17,ANC,Ted Stevens Anchorage Intl,Anchorage,61.174361,-149.996361,51281.0,51275.0,102556.0
18,APN,Alpena County Regional Airport,Alpena,45.0781,-83.5603,1894.0,1894.0,3788.0
19,ART,Watertown Intl,Watertown,43.991922,-76.021739,237.0,236.0,473.0
20,ASE,Aspen Pitkin County Sardy Field,Aspen,39.2232,-106.869,12797.0,12798.0,25595.0
21,ATL,Hartsfield Jackson Atlanta Intl,Atlanta,33.636719,-84.428067,1133578.0,1133592.0,2267170.0
22,ATW,Appleton,Appleton,44.257526,-88.507576,9198.0,9203.0,18401.0
23,AUS,Austin Bergstrom Intl,Austin,30.194528,-97.669889,135452.0,135452.0,270904.0
24,AVL,Asheville Regional Airport,Asheville,35.436194,-82.541806,9820.0,9820.0,19640.0
25,AVP,Wilkes Barre Scranton Intl,Scranton,41.338478,-75.723403,4837.0,4836.0,9673.0
