,DEP_TIME_BLK,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,0700-0759,32061,29206,33160,31726,32638,33163,34585,33902,31424,33042,30036,30900,30157,27644,33360,33673,34402,34373,35727,35097,32112,34242,31461,31699,29511,28463,31988,31410,32009,33594,34268,34830,32038,33071,30090,30853
1,0800-0859,34478,31385,35575,34793,36008,35539,36891,36203,33951,35007,32162,33241,32928,29775,33368,31278,31668,32487,33467,33373,30559,31688,29815,30608,28370,26912,30268,29831,31455,31649,32340,32790,30700,32257,30551,30387
2,1800-1859,26989,24680,28998,27971,28727,29576,30459,29544,28060,29137,25922,27062,26898,24609,28440,28030,29073,29383,29707,29474,26361,27820,26823,27762,25022,23976,27382,26818,27688,28124,28945,28571,26202,27206,25769,26027
3,1900-1959,27235,24947,29426,27561,27701,29543,30360,29652,26438,27898,27090,27573,26718,24559,30154,27610,27754,28351,29198,29203,26616,28009,26804,26362,25538,24243,27287,25400,26614,27142,27255,27368,24481,25403,24502,25381
4,1500-1559,29205,26832,29989,29447,31342,31166,32554,32177,29572,31037,29389,29638,29871,27238,31136,30709,31637,32206,32626,32308,29852,30852,29316,30009,28367,27094,29000,28243,28848,28807,29433,29721,28304,29367,28144,28363
5,1200-1259,30095,27323,30907,28777,30043,30023,31283,31295,29558,30533,28788,28996,28742,26067,29582,30218,31579,30299,30992,31221,29366,30243,28257,29045,27081,25635,28240,26967,28155,28899,29535,29481,27505,28640,26914,27501
6,1100-1159,31387,28584,31881,31315,32568,31074,32021,31815,30455,32039,31029,31365,30855,27732,30871,28996,29621,29735,30671,30326,29192,30715,29381,29989,28067,26916,29394,28699,29757,29256,30470,30710,29289,30266,28916,29104
7,2300-2359,2374,2003,2763,2228,2482,3244,3670,3276,2192,2427,2623,3081,2871,2535,3213,2934,3513,4376,4702,4409,3453,3532,4035,4599,3835,3488,4369,3822,4064,4686,5093,4764,3329,3295,3945,4573
8,2200-2259,5983,5401,7503,6965,7468,8955,9754,8379,5704,6290,6228,6453,6290,5957,9927,10583,10709,12475,13164,11037,8020,8492,10237,10660,8992,8313,11676,11503,11807,13499,14987,12522,9248,10118,10755,11778
9,2000-2059,18516,17370,22459,21845,22502,23209,23730,21597,18836,19674,18134,19045,19369,17772,22695,21999,22779,24261,25110,23528,20000,20715,20426,20778,19034,18323,22729,21982,22404,24204,25713,24326,20739,21836,20428,20419
10,0900-0959,28960,26042,29253,27879,29058,29245,30638,30914,29896,31692,29834,29604,29468,26658,29426,28389,29102,29784,31103,30989,28878,30090,28407,29109,27996,26540,28503,27067,28752,29129,30515,30389,28844,29834,28669,29229
11,0600-0659,30085,28871,35915,35422,35842,36357,38269,35988,31967,34068,32509,34371,33090,30686,36330,33733,34290,35282,36709,35687,31937,33616,32231,33349,30138,29450,33497,32190,32994,33431,33808,34097,31582,32927,31189,31534
12,1700-1759,34714,31050,35244,34003,34423,33578,33670,33673,32005,33597,31889,32604,32837,30211,34520,32258,32764,32745,33904,34198,31459,32989,30904,31573,30922,29424,31885,30703,32734,32251,32281,32574,30265,31616,29606,30092
13,1600-1659,29306,26320,30128,28957,29443,28939,30407,30220,29188,30231,27734,28683,28372,25915,29484,28130,28905,28026,28603,28502,26765,27735,26627,27089,26070,24625,27485,25739,27106,27568,28258,28517,26173,27313,25657,26474
14,1400-1459,30250,27381,31277,29725,30128,29336,29847,29221,27664,29033,27826,29366,28450,25807,27825,26206,27368,27093,28465,28149,26666,27952,27434,28300,25724,23745,25657,24810,26700,26825,27773,27818,26331,26912,26117,27175
15,1300-1359,31298,28276,31702,30738,32590,31789,32358,32674,31514,32740,30249,31443,31737,28786,33214,30121,30137,29640,31008,31012,28967,30367,29002,29518,28401,26638,29520,28450,29428,28681,29623,30142,28676,29628,27681,27696
16,1000-1059,30468,27534,32503,32189,33777,32886,33903,33699,31766,32543,29496,30864,29957,27626,31963,31114,32574,31839,32798,32739,30465,31768,29119,29682,27382,26005,29216,28858,30024,29617,29830,30883,29252,30289,27525,27663
17,2100-2159,12156,11876,17305,14932,15349,16317,17036,15090,12750,13237,13994,14695,13603,12417,17792,16551,16597,17420,17667,16398,13994,14636,15199,15193,13731,13101,16108,15057,15349,15610,15781,15156,12701,13098,13121,13982
18,0001-0559,6389,5521,7770,7026,7189,8678,9445,8172,6549,6786,7122,8199,7755,7197,11012,12619,12521,14122,15097,12886,10284,10704,12494,13906,11646,10998,14918,14081,13470,14665,16549,13688,9219,9550,11359,12718
