,Airport,origin_count,dest_count,Total_Flights
0,ATL,1133578.0,1133592.0,2267170.0
1,ORD,844654.0,844780.0,1689434.0
2,DFW,734953.0,734956.0,1469909.0
3,DEN,664532.0,664427.0,1328959.0
4,LAX,647316.0,647348.0,1294664.0
5,SFO,501429.0,501417.0,1002846.0
6,PHX,479337.0,479374.0,958711.0
7,IAH,471135.0,471237.0,942372.0
8,LAS,433610.0,433648.0,867258.0
9,SEA,362626.0,362641.0,725267.0
10,MSP,358153.0,358101.0,716254.0
11,MCO,356161.0,356166.0,712327.0
12,BOS,349907.0,349895.0,699802.0
13,DTW,348364.0,348422.0,696786.0
14,EWR,337533.0,337652.0,675185.0
15,CLT,332815.0,332838.0,665653.0
16,SLC,323378.0,323397.0,646775.0
17,LGA,311730.0,311689.0,623419.0
18,JFK,300425.0,300370.0,600795.0
19,BWI,281170.0,281161.0,562331.0
20,MDW,264813.0,264797.0,529610.0
21,SAN,231330.0,231335.0,462665.0
22,DCA,230940.0,230944.0,461884.0
23,MIA,227181.0,227175.0,454356.0
24,FLL,226860.0,226817.0,453677.0
25,PHL,218114.0,218095.0,436209.0
26,TPA,201888.0,201890.0,403778.0
27,DAL,182900.0,182889.0,365789.0
28,HOU,170468.0,170469.0,340937.0
29,PDX,163639.0,163642.0,327281.0
30,BNA,159394.0,159381.0,318775.0
31,STL,159265.0,159250.0,318515.0
32,HNL,140558.0,140542.0,281100.0
33,OAK,138416.0,138399.0,276815.0
34,AUS,135452.0,135452.0,270904.0
35,MCI,130578.0,130572.0,261150.0
36,IAD,129838.0,129697.0,259535.0
37,MSY,126466.0,126466.0,252932.0
38,SJC,126058.0,126059.0,252117.0
39,SMF,124198.0,124197.0,248395.0
40,SNA,122452.0,122449.0,244901.0
41,CLE,109389.0,109388.0,218777.0
42,RDU,108676.0,108679.0,217355.0
43,MKE,98696.0,98707.0,197403.0
44,SAT,97192.0,97187.0,194379.0
45,RSW,85007.0,85017.0,170024.0
46,IND,83302.0,83301.0,166603.0
47,PIT,79836.0,79829.0,159665.0
48,SJU,79299.0,79297.0,158596.0
49,CMH,76598.0,76587.0,153185.0
50,PBI,71121.0,71123.0,142244.0
51,OGG,67726.0,67736.0,135462.0
52,ABQ,64610.0,64602.0,129212.0
53,BUR,64365.0,64368.0,128733.0
54,BDL,62613.0,62614.0,125227.0
55,JAX,60395.0,60398.0,120793.0
56,ONT,59849.0,59848.0,119697.0
57,CVG,58250.0,58242.0,116492.0
58,OMA,55930.0,55943.0,111873.0
59,BUF,54821.0,54820.0,109641.0
60,OKC,54203.0,54211.0,108414.0
61,ANC,51281.0,51275.0,102556.0
62,RIC,50315.0,50313.0,100628.0
63,TUS,49010.0,49015.0,98025.0
64,TUL,47531.0,47526.0,95057.0
65,MEM,45456.0,45450.0,90906.0
66,RNO,43676.0,43679.0,87355.0
67,ELP,41567.0,41565.0,83132.0
68,CHS,41473.0,41470.0,82943.0
69,BHM,39988.0,39994.0,79982.0
70,BOI,38749.0,38756.0,77505.0
71,PVD,36995.0,36997.0,73992.0
72,SDF,35406.0,35394.0,70800.0
73,KOA,35469.0,35300.0,70769.0
74,LIH,34417.0,34422.0,68839.0
75,LIT,33783.0,33774.0,67557.0
76,ORF,33181.0,33176.0,66357.0
77,GRR,32498.0,32498.0,64996.0
78,LGB,32260.0,32264.0,64524.0
79,PSP,31257.0,31264.0,62521.0
80,GEG,29596.0,29594.0,59190.0
81,MSN,28125.0,28130.0,56255.0
82,DSM,26798.0,26796.0,53594.0
83,XNA,26482.0,26485.0,52967.0
84,FAT,26454.0,26457.0,52911.0
85,ICT,25858.0,25854.0,51712.0
86,DAY,25556.0,25551.0,51107.0
87,ALB,25536.0,25531.0,51067.0
88,COS,24923.0,24923.0,49846.0
89,SAV,24711.0,24708.0,49419.0
