,ROUTE,count,DEST,ORIGIN
0,"Row(_1=u'14771', _2=u'12892')",46097,LAX,SFO
1,"Row(_1=u'12892', _2=u'14771')",45400,SFO,LAX
2,"Row(_1=u'12478', _2=u'12892')",38230,LAX,JFK
3,"Row(_1=u'12892', _2=u'12478')",38223,JFK,LAX
4,"Row(_1=u'12889', _2=u'12892')",33892,LAX,LAS
5,"Row(_1=u'12892', _2=u'12889')",33481,LAS,LAX
6,"Row(_1=u'12953', _2=u'13930')",29627,ORD,LGA
7,"Row(_1=u'13930', _2=u'12953')",29448,LGA,ORD
8,"Row(_1=u'13830', _2=u'12173')",27926,HNL,OGG
9,"Row(_1=u'12173', _2=u'13830')",27867,OGG,HNL
10,"Row(_1=u'12892', _2=u'13930')",26473,ORD,LAX
11,"Row(_1=u'10397', _2=u'13204')",26424,MCO,ATL
12,"Row(_1=u'13204', _2=u'10397')",26380,ATL,MCO
13,"Row(_1=u'14747', _2=u'12892')",26354,LAX,SEA
14,"Row(_1=u'14771', _2=u'12478')",26303,JFK,SFO
15,"Row(_1=u'12478', _2=u'14771')",26303,SFO,JFK
16,"Row(_1=u'12892', _2=u'14747')",26288,SEA,LAX
17,"Row(_1=u'14771', _2=u'12889')",26051,LAS,SFO
18,"Row(_1=u'12889', _2=u'14771')",25579,SFO,LAS
19,"Row(_1=u'10397', _2=u'12953')",25511,LGA,ATL
20,"Row(_1=u'13930', _2=u'12892')",25493,LAX,ORD
21,"Row(_1=u'12953', _2=u'10397')",25483,ATL,LGA
22,"Row(_1=u'10721', _2=u'11278')",25271,DCA,BOS
23,"Row(_1=u'11278', _2=u'10721')",25258,BOS,DCA
24,"Row(_1=u'14107', _2=u'12892')",24721,LAX,PHX
25,"Row(_1=u'12892', _2=u'14107')",24660,PHX,LAX
26,"Row(_1=u'14771', _2=u'13930')",24449,ORD,SFO
27,"Row(_1=u'13930', _2=u'14771')",24188,SFO,ORD
28,"Row(_1=u'11292', _2=u'14107')",24004,PHX,DEN
29,"Row(_1=u'14107', _2=u'11292')",23990,DEN,PHX
30,"Row(_1=u'11298', _2=u'13930')",23932,ORD,DFW
31,"Row(_1=u'14771', _2=u'14747')",23435,SEA,SFO
32,"Row(_1=u'10397', _2=u'11697')",23259,FLL,ATL
33,"Row(_1=u'11697', _2=u'10397')",23246,ATL,FLL
34,"Row(_1=u'14747', _2=u'14771')",23239,SFO,SEA
35,"Row(_1=u'14679', _2=u'14771')",23145,SFO,SAN
36,"Row(_1=u'14771', _2=u'14679')",22996,SAN,SFO
37,"Row(_1=u'13930', _2=u'11298')",22987,DFW,ORD
38,"Row(_1=u'10397', _2=u'15304')",22593,TPA,ATL
39,"Row(_1=u'15304', _2=u'10397')",22584,ATL,TPA
40,"Row(_1=u'11298', _2=u'10397')",22224,ATL,DFW
41,"Row(_1=u'10397', _2=u'11298')",22208,DFW,ATL
42,"Row(_1=u'14869', _2=u'11292')",22073,DEN,SLC
43,"Row(_1=u'12892', _2=u'11298')",21959,DFW,LAX
44,"Row(_1=u'11298', _2=u'12892')",21897,LAX,DFW
45,"Row(_1=u'13930', _2=u'10721')",21560,BOS,ORD
46,"Row(_1=u'12191', _2=u'11259')",21513,DAL,HOU
47,"Row(_1=u'11259', _2=u'12191')",21469,HOU,DAL
48,"Row(_1=u'10721', _2=u'13930')",21182,ORD,BOS
49,"Row(_1=u'11292', _2=u'14869')",21051,SLC,DEN
50,"Row(_1=u'11292', _2=u'12892')",20913,LAX,DEN
51,"Row(_1=u'14100', _2=u'10397')",20820,ATL,PHL
52,"Row(_1=u'10397', _2=u'14100')",20804,PHL,ATL
