,ROUTE,(delay_count / count),delay_count,count
0,"Row(_1=u'SFO', _2=u'SJC')",1.0,1,1
1,"Row(_1=u'BDL', _2=u'IAH')",1.0,1,1
2,"Row(_1=u'SWF', _2=u'RSW')",1.0,1,1
3,"Row(_1=u'EUG', _2=u'SGU')",1.0,1,1
4,"Row(_1=u'OAK', _2=u'TUS')",1.0,1,1
5,"Row(_1=u'BNA', _2=u'MSN')",1.0,1,1
6,"Row(_1=u'MCN', _2=u'ATL')",1.0,1,1
7,"Row(_1=u'BGR', _2=u'CLT')",1.0,1,1
8,"Row(_1=u'TWF', _2=u'SEA')",1.0,3,3
9,"Row(_1=u'LGB', _2=u'BUF')",1.0,1,1
10,"Row(_1=u'IAH', _2=u'ACY')",1.0,1,1
11,"Row(_1=u'DCA', _2=u'PIT')",1.0,1,1
12,"Row(_1=u'OAK', _2=u'FLL')",1.0,2,2
13,"Row(_1=u'BWI', _2=u'LGA')",1.0,1,1
14,"Row(_1=u'GSO', _2=u'MHT')",1.0,1,1
15,"Row(_1=u'MFE', _2=u'BRO')",1.0,1,1
16,"Row(_1=u'RDU', _2=u'IND')",1.0,1,1
17,"Row(_1=u'EUG', _2=u'BOI')",1.0,1,1
18,"Row(_1=u'ONT', _2=u'LAX')",1.0,1,1
19,"Row(_1=u'CID', _2=u'LAX')",1.0,1,1
20,"Row(_1=u'LWS', _2=u'SFO')",1.0,1,1
21,"Row(_1=u'OKC', _2=u'FLL')",1.0,1,1
22,"Row(_1=u'LEX', _2=u'LAX')",1.0,1,1
23,"Row(_1=u'MHT', _2=u'CLE')",1.0,2,2
24,"Row(_1=u'DCA', _2=u'BTR')",1.0,1,1
25,"Row(_1=u'DEN', _2=u'SBN')",1.0,1,1
26,"Row(_1=u'SWF', _2=u'PBI')",1.0,2,2
27,"Row(_1=u'IND', _2=u'EVV')",1.0,1,1
28,"Row(_1=u'IAD', _2=u'TTN')",1.0,1,1
29,"Row(_1=u'LAX', _2=u'SUN')",0.916666666667,11,12
30,"Row(_1=u'LGA', _2=u'LIT')",0.877551020408,43,49
31,"Row(_1=u'EWR', _2=u'FNT')",0.774193548387,24,31
32,"Row(_1=u'SUN', _2=u'LAX')",0.75,9,12
33,"Row(_1=u'TWF', _2=u'LAX')",0.75,3,4
34,"Row(_1=u'MMH', _2=u'SNA')",0.727272727273,8,11
35,"Row(_1=u'JAC', _2=u'JFK')",0.727272727273,8,11
36,"Row(_1=u'EWR', _2=u'FWA')",0.709677419355,22,31
37,"Row(_1=u'BWI', _2=u'SJC')",0.7,21,30
38,"Row(_1=u'ILG', _2=u'RSW')",0.666666666667,4,6
39,"Row(_1=u'RSW', _2=u'ILG')",0.666666666667,4,6
40,"Row(_1=u'SJC', _2=u'CLT')",0.666666666667,2,3
41,"Row(_1=u'LEX', _2=u'EWR')",0.666666666667,20,30
42,"Row(_1=u'MSP', _2=u'ASE')",0.666666666667,24,36
43,"Row(_1=u'COS', _2=u'SFO')",0.653846153846,34,52
44,"Row(_1=u'DFW', _2=u'KOA')",0.647058823529,11,17
45,"Row(_1=u'CLT', _2=u'SMF')",0.645161290323,20,31
46,"Row(_1=u'SLC', _2=u'ASE')",0.642857142857,9,14
47,"Row(_1=u'XNA', _2=u'LAX')",0.642857142857,18,28
48,"Row(_1=u'IAH', _2=u'BZN')",0.64,16,25
