,Airport_1,Airport_2,sum,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,LAX,SFO,91497,71.0,71.8571428571,71.5161290323,73.2666666667,73.0967741935,74.6666666667,74.5161290323,73.9677419355,74.2,74.5806451613,71.6333333333,69.6129032258,71.3225806452,73.3571428571,72.6774193548,73.9,72.6129032258,86.5666666667,87.2903225806,92.8387096774,83.6333333333,87.5483870968,93.5,87.7419354839,92.5161290323,95.3103448276,98.8387096774,98.7,97.6451612903,99.6,97.8064516129,104.677419355,93.8666666667,92.7741935484,91.6666666667,84.1612903226
1,JFK,LAX,76453,59.3548387097,60.3928571429,61.5483870968,66.1,66.4193548387,72.0666666667,73.5806451613,73.2258064516,74.0,74.5483870968,71.7,71.9032258065,73.8064516129,73.9285714286,73.0967741935,73.6333333333,73.8709677419,74.0,73.5483870968,75.5806451613,72.8666666667,70.5806451613,64.1333333333,63.064516129,62.6774193548,65.8620689655,69.6451612903,70.0,69.2903225806,72.9333333333,72.7096774194,71.3870967742,67.2666666667,68.1290322581,65.7333333333,68.1290322581
2,LAS,LAX,67373,66.6129032258,66.8214285714,65.935483871,64.1666666667,64.4193548387,63.8,63.1612903226,62.6451612903,62.1333333333,62.4193548387,61.3666666667,59.4516129032,60.7419354839,62.3214285714,57.7741935484,56.9333333333,56.064516129,56.1333333333,55.1935483871,56.9677419355,58.1666666667,60.8709677419,57.9,58.0967741935,62.9032258065,61.4482758621,63.8387096774,61.1333333333,60.4838709677,63.3,62.4516129032,64.064516129,63.0,62.7741935484,63.6333333333,64.2580645161
3,LGA,ORD,59075,37.6774193548,39.1785714286,41.0,46.9,51.6129032258,51.6666666667,52.7096774194,54.2580645161,55.3,56.6451612903,54.3666666667,51.8064516129,55.0967741935,56.1428571429,58.2903225806,60.3,58.2580645161,59.3,58.8064516129,58.7419354839,58.5666666667,59.2903225806,57.1333333333,52.1935483871,49.8064516129,50.9310344828,51.2580645161,52.6333333333,55.5161290323,58.5666666667,53.935483871,57.8387096774,58.2333333333,58.064516129,56.5,51.2258064516
4,HNL,OGG,55793,52.9032258065,52.8571428571,52.8709677419,52.8,53.0322580645,54.8666666667,54.7741935484,54.9032258065,52.9333333333,52.9032258065,51.7666666667,51.7741935484,52.9032258065,52.7857142857,49.7419354839,48.8,48.5161290323,48.8666666667,48.8709677419,48.7419354839,49.6,49.8709677419,49.0333333333,48.9032258065,49.3870967742,49.3103448276,48.935483871,49.3666666667,48.2580645161,49.7333333333,50.9677419355,52.6451612903,52.1666666667,49.7741935484,49.7333333333,47.5483870968
5,ATL,MCO,52804,45.9032258065,46.6428571429,48.2903225806,48.2333333333,47.8064516129,45.5,44.8064516129,45.6774193548,45.1666666667,47.1935483871,44.4,45.1612903226,45.6129032258,46.25,48.9677419355,48.9666666667,50.5806451613,50.3666666667,49.3870967742,49.6774193548,49.3,49.0967741935,50.8,50.1612903226,49.935483871,49.4482758621,49.9032258065,48.4333333333,45.3225806452,48.5333333333,50.5483870968,51.0322580645,48.7333333333,50.3225806452,49.3666666667,48.6451612903
6,LAX,SEA,52642,39.4838709677,39.7142857143,41.0,45.1333333333,45.6129032258,41.8,41.3548387097,43.2903225806,40.8666666667,38.9677419355,38.6666666667,34.064516129,34.2258064516,34.75,39.5806451613,45.5333333333,48.4516129032,50.0666666667,49.5806451613,49.935483871,56.3,56.0,52.9666666667,48.4838709677,45.7096774194,45.0,48.3225806452,54.5333333333,55.4516129032,67.6,67.5483870968,66.7741935484,60.1,58.2903225806,50.5333333333,52.0322580645
7,JFK,SFO,52606,46.1290322581,46.1428571429,46.6451612903,46.7333333333,46.6451612903,51.2666666667,53.1290322581,52.9677419355,52.1666666667,51.8387096774,47.9,46.2903225806,47.4838709677,50.0,50.2903225806,51.4333333333,51.9677419355,54.4,54.1290322581,55.4516129032,55.3666666667,54.2580645161,44.1,41.2580645161,42.0322580645,44.1034482759,44.8387096774,43.3666666667,44.5806451613,45.6,45.8709677419,46.8387096774,44.1333333333,44.0,42.6666666667,41.7741935484
8,LAX,ORD,51966,39.064516129,40.3928571429,43.2258064516,42.8333333333,44.5806451613,47.2666666667,47.4193548387,46.2903225806,44.6666666667,44.935483871,43.5333333333,43.4516129032,40.6129032258,40.7142857143,46.4838709677,47.6666666667,48.6451612903,53.2,52.4838709677,52.5161290323,50.3,51.3870967742,50.9333333333,49.3870967742,42.7096774194,42.6896551724,46.8387096774,46.8,48.4516129032,52.5333333333,55.3548387097,54.9677419355,51.8666666667,51.935483871,50.5333333333,49.0322580645
9,LAS,SFO,51630,42.1935483871,41.9285714286,42.9032258065,42.3333333333,44.3870967742,46.1,45.1290322581,46.1612903226,47.6333333333,46.935483871,42.8333333333,39.6129032258,45.8387096774,45.2857142857,46.1612903226,46.5666666667,46.6774193548,47.1,46.0,53.1290322581,47.5333333333,51.5161290323,51.6333333333,46.4516129032,48.6129032258,47.2413793103,49.2258064516,50.8,47.6129032258,48.4333333333,48.4193548387,53.5483870968,53.7666666667,52.4193548387,48.8,44.5483870968
10,ATL,LGA,50994,54.8387096774,55.0,56.8064516129,44.7,44.3548387097,43.9666666667,43.6774193548,43.2580645161,43.3666666667,43.7096774194,42.4,43.4193548387,46.3225806452,47.9285714286,49.5161290323,51.0333333333,52.5483870968,53.5333333333,53.3225806452,52.8064516129,46.3666666667,43.4516129032,44.8666666667,43.3225806452,41.2258064516,41.9310344828,42.2580645161,42.7333333333,41.7096774194,44.2333333333,45.8064516129,46.4516129032,45.7333333333,44.8064516129,47.1,46.8709677419
11,BOS,DCA,50529,42.0,45.7142857143,46.9032258065,48.4666666667,46.2903225806,47.7,47.4838709677,46.8387096774,47.8666666667,48.1935483871,45.9333333333,38.5806451613,43.4516129032,47.6428571429,48.2903225806,48.5333333333,46.7419354839,48.0,46.6451612903,46.6451612903,46.8,47.1935483871,45.4,38.4516129032,44.2903225806,44.5517241379,48.0322580645,47.1,48.5806451613,49.0666666667,47.1935483871,49.4193548387,48.5333333333,48.1290322581,44.5333333333,35.0
12,LAX,PHX,49381,52.1612903226,52.7857142857,54.3870967742,54.7333333333,54.1612903226,47.7,47.4838709677,44.4838709677,42.1666666667,44.5806451613,42.2333333333,43.064516129,43.5483870968,44.0714285714,44.935483871,42.6666666667,40.2580645161,45.3333333333,45.7741935484,44.7419354839,44.6,44.0967741935,43.8666666667,44.6774193548,46.4516129032,45.4137931034,47.0322580645,46.5,44.9677419355,45.8666666667,43.4838709677,42.2903225806,39.1666666667,37.1612903226,36.7666666667,38.7741935484
13,ORD,SFO,48637,38.4838709677,38.3214285714,40.3870967742,43.2,42.5806451613,48.2,49.6451612903,47.9677419355,46.8333333333,46.9032258065,42.3,40.5806451613,32.7096774194,32.3571428571,35.9677419355,39.7333333333,45.8064516129,51.3,51.3870967742,51.8709677419,50.5666666667,50.1612903226,48.1666666667,45.4516129032,37.2258064516,36.4482758621,38.2903225806,41.5333333333,45.6774193548,49.3333333333,50.2580645161,52.1290322581,49.2,47.6129032258,44.4333333333,43.0
14,DEN,PHX,47994,42.3225806452,42.7857142857,46.6774193548,45.6,46.0,42.4,41.064516129,41.3548387097,43.7,45.4838709677,42.5,43.1612903226,42.7741935484,43.4285714286,47.0322580645,46.2333333333,44.1290322581,41.5333333333,40.3548387097,41.5161290323,40.9,43.064516129,42.9,43.935483871,43.3548387097,44.3793103448,47.6129032258,45.1,46.0967741935,45.4666666667,43.5161290323,43.8387096774,42.9333333333,44.6129032258,44.5333333333,44.0
15,DFW,ORD,46919,32.5483870968,34.25,34.5483870968,33.5666666667,37.2903225806,43.2666666667,42.3225806452,42.5483870968,43.5666666667,45.4516129032,42.4333333333,41.7096774194,43.6774193548,42.75,43.8709677419,48.3,46.2258064516,51.3,49.5806451613,49.6129032258,47.8333333333,47.1290322581,45.6666666667,43.064516129,43.0322580645,43.275862069,43.3870967742,42.6333333333,43.3870967742,43.2,42.6451612903,44.6774193548,43.5333333333,42.2903225806,39.2666666667,36.8387096774
16,SEA,SFO,46674,38.6129032258,37.9642857143,38.7096774194,45.1666666667,45.1612903226,44.5333333333,44.4838709677,43.8387096774,41.2,43.4838709677,40.6,40.8709677419,37.064516129,37.1428571429,42.4838709677,42.9333333333,43.1612903226,42.3333333333,41.4838709677,43.4516129032,40.8,41.2903225806,38.7,43.7741935484,37.1612903226,37.0,38.1612903226,39.7,46.7419354839,44.7,43.935483871,47.4193548387,48.1333333333,52.1612903226,50.7,46.9677419355
