,CARRIER,NAS_DELAY_sum,CARRIER_DELAY_sum,SECURITY_DELAY_sum,WEATHER_DELAY_sum,LATE_AIRCRAFT_DELAY_sum
0,AA,6038595,8580448,42254.0,1426368,9584412
1,NK,2175733,800072,8826.0,74086,1177643
2,HA,22741,526922,1490.0,27413,283406
3,AS,951871,929304,14711.0,105929,1059277
4,B6,2946759,3328603,32073.0,398275,4393260
5,UA,4960254,6054244,3591.0,918736,7669688
6,US,1761846,1900796,19790.0,201444,1482145
7,OO,4301934,6294452,24410.0,762308,9107769
8,VX,875296,403372,7170.0,123952,809687
9,WN,5512017,11532793,45356.0,1538606,20665353
10,DL,5474817,8765140,13282.0,1593521,6506680
11,EV,5741019,8223076,2833.0,570408,9445177
12,F9,1534775,975208,,68567,1853484
13,FL,168921,166873,,20783,322035
14,MQ,2559350,2484399,12474.0,864589,3544297
